Parent,Node,URL,Notes
Dinnerware,,https://www.rakporcelain.com/us-en/collections/dinnerware,Top-level dinnerware hub
Dinnerware,Ivoris,https://www.rakporcelain.com/us-en/collections/dinnerware/ivoris-9,Ivoris collection overview
Ivoris,Allspice,https://www.rakporcelain.com/us-en/collections/dinnerware/ivoris-9/allspice-1241,
Ivoris,Aurea,https://www.rakporcelain.com/us-en/collections/dinnerware/ivoris-9/aurea-1243,
Ivoris,Favourite,https://www.rakporcelain.com/us-en/collections/dinnerware/ivoris-9/favourite-1252,
Ivoris,Giro,https://www.rakporcelain.com/us-en/collections/dinnerware/ivoris-9/giro-1254,
Ivoris,Lyra,https://www.rakporcelain.com/us-en/collections/dinnerware/ivoris-9/lyra-1258,
Ivoris,Minimax,https://www.rakporcelain.com/us-en/collections/dinnerware/ivoris-9/minimax-1263,
Ivoris,Nabur,https://www.rakporcelain.com/us-en/collections/dinnerware/ivoris-9/nabur-1264,
Ivoris,Nordic,https://www.rakporcelain.com/us-en/collections/dinnerware/ivoris-9/nordic-1266,
Ivoris,Sensate,https://www.rakporcelain.com/us-en/collections/dinnerware/ivoris-9/sensate-1270,
Ivoris,White Gold,https://www.rakporcelain.com/us-en/collections/dinnerware/ivoris-9/white-gold-1273,
Dinnerware,Polaris,https://www.rakporcelain.com/us-en/collections/dinnerware/polaris-91,Polaris collection overview
Polaris,Access,https://www.rakporcelain.com/us-en/collections/dinnerware/polaris-91/access-1282,
Polaris,Charm,https://www.rakporcelain.com/us-en/collections/dinnerware/polaris-91/charm-1283,
Polaris,Classic Polaris,https://www.rakporcelain.com/us-en/collections/dinnerware/polaris-91/classic-polaris-1291,
Polaris,Evolution,https://www.rakporcelain.com/us-en/collections/dinnerware/polaris-91/evolution-1285,
Polaris,Helm,https://www.rakporcelain.com/us-en/collections/dinnerware/polaris-91/helm-1286,
Polaris,Moon,https://www.rakporcelain.com/us-en/collections/dinnerware/polaris-91/moon-1287,
Polaris,Polaris SKA,https://www.rakporcelain.com/us-en/collections/dinnerware/polaris-91/polaris-ska-2846,
